,國文,英文,數學,地理,探討
胡淑貞,91,55,67,93,67
林冠蕙,87,90,51,75,90
楊少亮,97,76,50,88,98
蔡孟泉,54,88,67,80,98
林柏洋,51,84,98,95,52
李美洋,86,99,81,100,65
王筱婷,56,95,66,88,50
林俊翔,66,67,53,68,67
賴苑禾,57,55,100,63,100
王人仰,78,75,63,76,72
吳孟穎,71,55,98,90,78
洪阿惠,54,84,68,73,98
黃旻林,69,98,95,91,52
趙家豪,86,96,78,77,94
陳向愛,63,55,70,81,67
盧必妍,75,89,58,52,51
陳建豪,53,90,94,88,53
王坤安,84,51,50,74,88
彭茹靖,71,84,96,86,75
羅幸娥,72,69,71,55,77
鄭奇翰,92,55,86,84,65
蘇凡菁,54,63,77,77,75
吳柏誠,62,57,99,71,57
陳得映,97,75,80,96,79
蔡偉成,78,57,74,52,52
吳淑惠,64,58,98,82,75
金宜芳,63,88,83,63,86
吳麗卿,80,98,83,79,63
謝貞妃,83,76,51,93,71
李蓉瑞,51,55,64,91,79
林珈發,61,53,89,86,65
林士凱,84,80,81,62,66
高士凱,63,68,70,91,53
陳奇瑄,61,96,83,52,89
張天亨,66,53,76,68,54
戴萱能,82,56,95,71,56
劉佳佩,59,89,97,55,82
王志謙,59,77,82,57,62
陳筱涵,64,91,79,66,99
陳俊憲,85,69,82,57,59
黃江旭,86,95,75,93,93
方雅慧,90,59,100,83,69
李雅怡,87,64,52,82,94
胡姿婷,92,61,81,98,65
王雅琴,62,55,65,69,55
黃志福,61,73,85,54,76
趙宛真,52,100,86,57,51
張家秀,78,57,96,60,65
李政白,50,90,87,60,74
林詠斌,63,96,53,56,98
